:ID,名称,:Label,风险等级,含义
合规性风险,合规性风险,关键风险点,高,公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
业务人员职业素养风险,业务人员职业素养风险,关键风险点,中,由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
市场情报收集风险,市场情报收集风险,关键风险点,中,由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
供应商资质及资信材料风险,供应商资质及资信材料风险,关键风险点,中,由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
统购分销供方准入风险,统购分销供方准入风险,关键风险点,中,由于供应商的选择不当导致源头风险，形成后续交付、发票、质量等一系列潜在业务风险。
客户管理风险,客户管理风险,关键风险点,低,由于公司对客户服务工作管理不到位，导致客户对公司的满意度低，造成客户流失的风险。
系统开户风险,系统开户风险,关键风险点,中,客商提供的开户资料不完整，导致后续合同执行过程中业务中断，引起用户体验差的风险。
与不良交易对象开展业务风险,与不良交易对象开展业务风险,关键风险点,中,与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。
钢厂货物信息获取风险,钢厂货物信息获取风险,关键风险点,中,钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。
统购分销供方复评风险,统购分销供方复评风险,关键风险点,中,对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。
开立公司银行账户风险,开立公司银行账户风险,关键风险点,低,产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。
仓库准入风险,仓库准入风险,关键风险点,高,准入评价不充分，导致非合格供方进入供方白名单，从而造成货物损失的风险。
仓库选择风险,仓库选择风险,关键风险点,高,选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。
承运商准入风险,承运商准入风险,关键风险点,中,准入评价不充分，准入的承运商无法满足运输需求，造成发生运输纠纷或者货物损失的风险。
