q_str,t_str,a_str
合规性风险的定义是什么？,<triple id=2> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=2> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
合规性风险是什么意思？,<triple id=3> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=3> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
合规性风险代表什么？,<triple id=4> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=4> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
怎么解释合规性风险？,<triple id=6> 合规性风险	含义	公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。,<answer id=6> 公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
合规性风险是什么等级的风险？,<triple id=9> 合规性风险	风险等级	高,<answer id=9> 高
业务人员职业素养的定义是什么？,<triple id=11> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=11> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
业务人员职业素养是什么意思？,<triple id=12> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=12> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
业务人员职业素养代表什么？,<triple id=13> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=13> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
业务人员职业素养指什么？,<triple id=14> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=14> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
怎么解释业务人员职业素养？,<triple id=15> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=15> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
怎么理解业务人员职业素养？,<triple id=16> 业务人员职业素养	含义	由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。,<answer id=16> 由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
业务人员职业素养的风险等级是多少？,<triple id=17> 业务人员职业素养	风险等级	中,<answer id=17> 中
业务人员职业素养是什么等级的风险？,<triple id=18> 业务人员职业素养	风险等级	中,<answer id=18> 中
市场情报收集的含义是什么？,<triple id=19> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=19> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
市场情报收集是什么意思？,<triple id=21> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=21> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
市场情报收集指什么？,<triple id=23> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=23> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
怎么解释市场情报收集？,<triple id=24> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=24> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
怎么理解市场情报收集？,<triple id=25> 市场情报收集	含义	由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。,<answer id=25> 由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
市场情报收集的风险等级是多少？,<triple id=26> 市场情报收集	风险等级	中,<answer id=26> 中
市场情报收集是什么等级的风险？,<triple id=27> 市场情报收集	风险等级	中,<answer id=27> 中
供应商资质及资信材料的含义是什么？,<triple id=28> 供应商资质及资信材料	含义	由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。,<answer id=28> 由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
供应商资质及资信材料的定义是什么？,<triple id=29> 供应商资质及资信材料	含义	由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。,<answer id=29> 由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
供应商资质及资信材料代表什么？,<triple id=31> 供应商资质及资信材料	含义	由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。,<answer id=31> 由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
供应商资质及资信材料指什么？,<triple id=32> 供应商资质及资信材料	含义	由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。,<answer id=32> 由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
