合规性风险	遵从风险	合规风险	规范风险	合规性	规范性
业务人员职业素养风险	业务人员职业信誉风险	业务人员职业操守风险	业务人员职业行为风险	业务人员职业道德风险	业务人员职业素养
市场情报收集风险	市场情报获取风险	市场情报获取	市场情报搜集风险	市场情报采集风险	市场情报收集
供应商资质及资信材料风险	供应商资格和信用风险	供应商能力和信誉资料风险	供应商资格和信用资料风险	供应商认证和信誉风险	供应商资质及资信材料
统购分销供方准入风险	统销供方准入	统购分销供方准入	供方准入	统销供方准入风险	分销供方准入风险
客户管理风险	顾客管理风险	客户管理	客户管控	顾客管控	客户管控风险
系统开户风险	账户开立风险	开户风险	系统开户	创建账户风险	注册账户风险
与不良交易对象开展业务风险	与潜在风险对象开展业务风险	与可疑交易对象开展业务风险	与存在风险对象开展业务风险	与不良交易对象开展业务
钢厂货物信息获取风险	钢厂货物信息采集风险	钢厂货物数据收集风险	钢厂货物信息收集风险	钢厂货物信息调查风险	钢铁货物信息获取
统购分销供方复评风险	统购分销供方再评估风险	统购分销供方复审风险	统销供方复评风险	统购分销供方复评	统销供方复评
开立公司银行账户风险	设立公司银行账户风险	开设公司银行账户风险	开户公司银行账户风险	开设企业银行账户风险	开立公司银行账户
仓库准入风险	仓库入库风险	仓储准入风险	仓储入库风险	仓库准入	仓储准入
仓库选择风险	仓储选择风险	仓储选择	仓库选址风险	仓储选址风险	仓库选择
承运商准入风险	运输供应商准入风险	货运服务提供商准入风险	承运方准入风险	承运商准入	承运方准入
承运商选择风险	运输供应商选择风险	货运服务提供商选择风险	承运方选择风险	承运商选择	承运方选择
交易对象信用风险管理风险	交易对象信誉风险管理风险	交易方信誉风险管理风险	交易对象信用风险管理	信用风险管理	交易信用风险管理
授信占用和释放的节点风险	授权占用节点	授信释放节点	授信占用和释放节点	授权占用节点风险	授信释放节点风险
产品业务系统权限分配风险	产品业务权限分配	业务权限分配	产品业务系统权限分配	业务系统权限分配	业务系统权限分配风险
交易职责授权风险	交易授权	交易权限授权	交易授权风险	交易职责授权	交易操作授权风险
授权签约风险	授权签约	委托签约	委任签约	委托签约风险	委任签约风险
三新业务开展前的评估审批风险	开始三新业务前的审核	三新业务评估审批	三新业务开展前的评估审批	三新业务评估审批	三新业务开展前的评估
非标合同条款风险	非标合同条款	非标合同条文	非标合同条文风险	非规范合同条款	非正式合同条款
合同条款内容风险	合同条款风险	合同条文	合同条文风险	合同条款内容	合同条款
合同金额约定风险	合同金额规定	约定合同金额	规定合同金额	约定合同金额风险	合同金额约定
采购计划风险	采购方案风险	采购规划风险	采购安排风险	采购预算风险	采购筹划风险
采购复审风险	采购复核风险	采购审查风险	采购复审	采购复查风险	采购复查
关联关系风险	关联关系	关联性风险	依赖性风险	相关性风险	相关关系
采购审批风险	采购核准风险	采购审批	采购审核	采购核准	采购审核风险
销售合同签约风险	销售合同签约	销售合同签订	销售合同签订风险	销售合同订立风险	销售合同签署风险
销售合同文本关键用词风险	销售合同文本关键用词	合同关键用词	合同关键词	销售合同关键用词	销售合同关键词
合同变更风险	合同调整风险	合同修改风险	合同更改风险	合同变动风险	合约调整风险
价格及结算方式风险识别风险	价格及结算方式风险识别	价格及结算方式识别	结算方式识别	结算方式辨别	价格及结算方式辨别
挂牌价格风险	挂牌定价风险	挂牌价格	挂牌标价	挂牌标价风险	挂牌定价
印章使用风险	章印运用风险	印鉴使用风险	印章运用风险	章印使用风险	章印操作风险
跌价风险	价值跌落风险	价格下跌风险	价格下降风险	降价风险	标价下跌风险
资金计划风险	资金规划风险	资金策划风险	资金预算风险	资金安排风险	资金筹划风险
付款申请的发起风险	付款申请发起	发起付款申请的风险	付款请求发起	付款申请的发起	发起支付申请
供方自由款及时使用风险	供方自由款及时使用	供方自由款使用	自由款使用	供方自由款实时使用	自由款及时使用
供应商授信逾期超额风险	供应商授信逾期	供应商授信逾期超额	供应商授信超额	供应商授信超期	供货商授信逾期超额
采用线下付款方式风险	线下付款方式	线下付款	线下付款方式风险	采用非电子支付方式	线下结算方式
审批及拨付为同一人风险	审批和拨款同一人	审批和拨付同一人	审批与拨款同一人	同一人审批和拨付	审批及拨付为同一人
代收代付资金未取得相关证明风险	代收代付未取得相关证明	未获得相关证明的代收代付风险	代收代付资金未取得相关证明	代收代付资金缺乏证明文件	代收付未取得相关证明
现款和银票混配风险	现金和票据混合风险	现金和银票混用的风险	现款和银票混配	现款银票混配	现钞与票据混合风险
票据运作风险	票据运转风险	票据运转	票据运作	票据操作风险	票据操作
票据折现风险	账单折现	账单折现风险	票据折现	票据贴现风险	票据贴现
票据收取风险	账单收取	账单收取风险	票据收取	票据领取风险	票据领取
分批付款风险	阶段性付款	分段付款风险	分期付款	分期付款风险	分批付款
资金释放风险	资金放出风险	资金释放	资金放出	资金解锁风险	资金解锁
两金管理风险	两金管控风险	两金监管	两金管理	两金管控	两金监管风险
钢厂跟单风险	钢厂订单风险	钢厂跟踪单风险	钢铁厂跟踪单风险	钢铁厂跟单风险	跟单风险
钢厂超发或欠发风险	超发欠发	超发风险	钢厂超发	钢厂欠发	欠发风险
发货指令传递风险	出货指令传递风险	发货指令传输风险	发货指令传输	发货指令传递	出货指令传递
钢厂延期交货风险	延迟交货风险	钢厂延期交货	延期交货风险	钢厂交货延误风险	钢厂交货推迟风险
运输环节风险	物流运输风险	运输风险	输送环节风险	运输环节	输送环节
货物入库风险	货品入库风险	商品入库风险	货物准入风险	货品准入风险	商品准入风险
实物管理风险	物资管理风险	实物管控风险	实体管控风险	实体管理风险	实物控制风险
仓库监管风险	仓储监管风险	储存监督风险	仓储监督风险	储存监管风险	仓库监督风险
应急处置风险	突发风险应对	应急处置	突发风险	应急风险	危机处置
货物出库风险	货物发货风险	货品出库	商品出库	出库风险	货物出库
库存超期风险	库存超期	库存过期风险	库存过期	库存超额	库存超额风险
结算价格风险	价格结算	清算价格风险	结算价格	清算价格	价格结算风险
采购发票风险	购买发票风险	采购发票	购进发票	采购票据风险	采购票据
增值税进销项管理风险	增值税销项	增值税进销项管理	增值税进销项	增值税进销项管理	增值税进项
采购结算风险	购买结算风险	采购支付风险	采购付款风险	采购清算风险	购买清算风险
采购价差核对风险	采购价差核对	价格差异核对	采购差异核对	价格差异核对风险	采购差异核对风险
客户折扣生成风险	客户折扣产生	客户折扣生成	客户优惠生成	客户折扣产生风险	客户优惠生成风险
销售发票结算风险	销售发票结算	销售清算风险	销售发票清算风险	销售发票核算风险	销售发票核算
质量异议风险	质量质疑风险	质量分歧风险	质量争议风险	质量纠纷风险	质量申诉风险
毛利核算风险	利润核算风险	毛利审核风险	利润审核风险	毛利清算风险	利润清算风险
定期对账风险	定期核账	定期核账风险	定期对账	周期对账风险	周期对账
钢厂余款处理风险	钢厂余款处理	钢厂剩余款项处理	钢厂剩款	钢厂剩款处理风险	钢厂剩款处理
客户退款风险	顾客退款风险	客户退款	用户退款	消费者退款	顾客退款
合同结案风险	合同结案	合同终止	合同结束	合同完成	合同结束风险
业务归档风险	业务存档风险	业务记录风险	业务归档	业务存档	业务记录
长龄库存	呆滞库存	过期库存	滞销库存	长期积压库存	超龄库存
授信
代收代付	受托收付	代收付	代付代收	代理收付	帮收付	
采购价差	求购差价	采购差价	求购价差	进货价差	购买价差
返利返差	优惠返差	折扣利差	返差返利	优惠返利	折扣返利
定金	定金费用	预定金	预付款	定金款项	订金
厂内交货价	厂商批发价	出厂价	出厂交货价	出厂交货价格	厂内交货价格
后结算	延迟结算	推迟结算	后期结算	延后结算	后清算
跌价预警	降价预警	下跌预警	跌价警告	降价警告	下跌警告
合同归档超期	合同归档延误	合同归档逾期	合同归档超时	合同归档迟滞	合同存档超期
业务准备	业务规划	业务筹备	业务安排	业务筹划	业务方案
购销合同	购销协议	购销合约	统购分销合约	统购分销合同	统购分销协议
收付款	收款付款	付款收款	付收款	收款	付款
出入库	出入仓库	入库出库	入出库	出库	入库
购销结算	购销清算	统购分销清算	统购分销结算	购销结清	统购分销结清
业务完结	业务终结	业务完成	业务结束	业务结算	业务终止
业务洽谈	商务谈判	业务会谈	商务洽谈	商业洽谈	业务谈判
客商准入	商家准入	商家入驻	客商入驻	客户入驻	客户准入
开立银行账户	开设账户	开设银行账户	银行设户	银行创户	创建银行账户
物流服务商准入	物流运输商准入	物流服务商批准	物流批准	物流服务商入驻	物流运输商批准
授信管理	授信控制	授信管控	授信监管	管理授信	管控授信
授权管理	授权管控	授权控制	权限管理	授权控制	权限管控
三新业务模式审批	三新业务模式审核	三新业务模式批示	三新业务审批	三新模式审批
合同年协备案	年度合同备案	年度协议备案	合同年度备案	合同年度登记	合同年协登记
采购计划	采购方案	采购规划	采购安排	采购预算	采购筹划
购销评审	统购分销评审	购销审查	购销评估	统购分销审查	统购分销评估
合同管理	协议管理	合约管理	合同管控	合约管控	协议管控
合同变更	合约调整	协议更改	合同调整	合同修改	合同修订
价格管理	定价管理	价钱管理	价格控制	价位管理	价格管控
印章使用	章印运用	印鉴使用	印章运用	印鉴运用	章印使用
估值盯市	估值观市	估价盯市	估价观市	估值监市	估价监市
资金计划	资金安排	资金规划	资金方案	资金筹划	资金分配
付款申请	缴费申请	付款请求	支付申请	支付请求	付款请求
付款审批	支付审核	支付审批	付款审核	缴费审批	缴费审核
票据	凭证	支付证明	票据单据	单据	付款证明
收付款控制	收付款管控	收付款管制	款项控制	付款控制	收款控制
钢厂跟单
在途管控	在途监管	在途管理	在途追踪	在途监控	在途控制
货物入库	货品入库	商品入库	货物准入	货品准入	商品准入
实物管理	实物管控	实体管控	实体管理	物资管理	物资管控
仓库监管	库房监督	储存监管	仓储监管	仓库监督	库房监管
提货	提取货物	领取货物	取货	领货	取走货物
库存管理	库存物资管理	库存管控	存货管理	存货管控	库存监管
采购结算	采购付款	采购结账	采购清算	采购支付	购买结算
折扣	打折	折让	减价	优惠	折价
销售结算	销售核算	销售计算	销售清算	售出清算	销售核对
质量异议	质量质疑	质量分歧	质量争议	质量纠纷	质量申诉
毛利核算	毛利结算	毛利清算	利润核算	利润清算	利润结算
用户对帐	客户对帐	消费者对帐	用户账目核对	用户对账	客户对账
档案管理	档案管控	记录管理	档案监管	记录管控	记录监管
入库超期未提	入库逾期未取	入库超期未取	入库逾期未提	入库过期未提	入库过期未取
交货超期	交货延误	交货延迟	交货拖延	交货过期	交货滞后
进项超期	进项逾期	进项超时	进项延误	进项过期	进项滞后
库存预警	库存警报	库存提醒	库存告警	库存警示	库存提示
授信逾期超额	信用超限逾期	授信超期	授信逾期	授信超额	授信过期
销项超期	销售超期	销售逾期	销项逾期	销项过期	销售过期
地区公司	区域分公司	区域子公司	地方子公司	地方分公司	区域公司
运营中心
欧冶物流	欧冶物流公司	欧冶物流事业部	欧冶物流部门	欧冶物流团队	欧冶运输
财务部	财务科	财政部	财务部门	财务处	财务管理部
低
中
高
